agency_cd,site_no,datetime,tz_cd,89062_00060,89062_00060_cd,89063_00065,89063_00065_cd
USGS,02085070,2022-11-17 00:00,EST,6.23,P,1.44,P
USGS,02085070,2022-11-17 00:05,EST,6.23,P,1.44,P
USGS,02085070,2022-11-17 00:10,EST,6.23,P,1.44,P
USGS,02085070,2022-11-17 00:15,EST,6.23,P,1.44,P
USGS,02085070,2022-11-17 00:20,EST,6.23,P,1.44,P
USGS,02085070,2022-11-17 00:25,EST,6.23,P,1.44,P
USGS,02085070,2022-11-17 00:30,EST,6.23,P,1.44,P
USGS,02085070,2022-11-17 00:35,EST,6.05,P,1.43,P
USGS,02085070,2022-11-17 00:40,EST,6.05,P,1.43,P
USGS,02085070,2022-11-17 00:45,EST,6.05,P,1.43,P
USGS,02085070,2022-11-17 00:50,EST,6.05,P,1.43,P
USGS,02085070,2022-11-17 00:55,EST,6.05,P,1.43,P
USGS,02085070,2022-11-17 01:00,EST,6.05,P,1.43,P
USGS,02085070,2022-11-17 01:05,EST,6.05,P,1.43,P
USGS,02085070,2022-11-17 01:10,EST,6.05,P,1.43,P
USGS,02085070,2022-11-17 01:15,EST,6.05,P,1.43,P
USGS,02085070,2022-11-17 01:20,EST,6.05,P,1.43,P
USGS,02085070,2022-11-17 01:25,EST,6.05,P,1.43,P
USGS,02085070,2022-11-17 01:30,EST,6.05,P,1.43,P
USGS,02085070,2022-11-17 01:35,EST,6.05,P,1.43,P
USGS,02085070,2022-11-17 01:40,EST,6.05,P,1.43,P
USGS,02085070,2022-11-17 01:45,EST,6.05,P,1.43,P
USGS,02085070,2022-11-17 01:50,EST,6.05,P,1.43,P
USGS,02085070,2022-11-17 01:55,EST,6.05,P,1.43,P
USGS,02085070,2022-11-17 02:00,EST,6.05,P,1.43,P
USGS,02085070,2022-11-17 02:05,EST,6.05,P,1.43,P
USGS,02085070,2022-11-17 02:10,EST,6.05,P,1.43,P
USGS,02085070,2022-11-17 02:15,EST,6.05,P,1.43,P
USGS,02085070,2022-11-17 02:20,EST,6.05,P,1.43,P
USGS,02085070,2022-11-17 02:25,EST,6.05,P,1.43,P
USGS,02085070,2022-11-17 02:30,EST,6.05,P,1.43,P
USGS,02085070,2022-11-17 02:35,EST,6.05,P,1.43,P
USGS,02085070,2022-11-17 02:40,EST,6.05,P,1.43,P
USGS,02085070,2022-11-17 02:45,EST,6.23,P,1.44,P
USGS,02085070,2022-11-17 02:50,EST,6.23,P,1.44,P
USGS,02085070,2022-11-17 02:55,EST,6.23,P,1.44,P
USGS,02085070,2022-11-17 03:00,EST,6.23,P,1.44,P
USGS,02085070,2022-11-17 03:05,EST,6.41,P,1.45,P
USGS,02085070,2022-11-17 03:10,EST,6.41,P,1.45,P
USGS,02085070,2022-11-17 03:15,EST,6.41,P,1.45,P
USGS,02085070,2022-11-17 03:20,EST,6.59,P,1.46,P
USGS,02085070,2022-11-17 03:25,EST,6.59,P,1.46,P
USGS,02085070,2022-11-17 03:30,EST,6.78,P,1.47,P
USGS,02085070,2022-11-17 03:35,EST,6.78,P,1.47,P
USGS,02085070,2022-11-17 03:40,EST,6.98,P,1.48,P
USGS,02085070,2022-11-17 03:45,EST,7.18,P,1.49,P
USGS,02085070,2022-11-17 03:50,EST,7.18,P,1.49,P
USGS,02085070,2022-11-17 03:55,EST,7.38,P,1.50,P
USGS,02085070,2022-11-17 04:00,EST,7.59,P,1.51,P
USGS,02085070,2022-11-17 04:05,EST,7.59,P,1.51,P
USGS,02085070,2022-11-17 04:10,EST,7.80,P,1.52,P
USGS,02085070,2022-11-17 04:15,EST,8.02,P,1.53,P
USGS,02085070,2022-11-17 04:20,EST,8.25,P,1.54,P
USGS,02085070,2022-11-17 04:25,EST,8.48,P,1.55,P
USGS,02085070,2022-11-17 04:30,EST,8.48,P,1.55,P
USGS,02085070,2022-11-17 04:35,EST,8.71,P,1.56,P
USGS,02085070,2022-11-17 04:40,EST,8.95,P,1.57,P
USGS,02085070,2022-11-17 04:45,EST,9.20,P,1.58,P
USGS,02085070,2022-11-17 04:50,EST,9.20,P,1.58,P
USGS,02085070,2022-11-17 04:55,EST,9.45,P,1.59,P
USGS,02085070,2022-11-17 05:00,EST,9.71,P,1.60,P
USGS,02085070,2022-11-17 05:05,EST,9.71,P,1.60,P
USGS,02085070,2022-11-17 05:10,EST,9.97,P,1.61,P
USGS,02085070,2022-11-17 05:15,EST,9.97,P,1.61,P
USGS,02085070,2022-11-17 05:20,EST,10.2,P,1.62,P
USGS,02085070,2022-11-17 05:25,EST,10.2,P,1.62,P
USGS,02085070,2022-11-17 05:30,EST,10.2,P,1.62,P
USGS,02085070,2022-11-17 05:35,EST,10.5,P,1.63,P
USGS,02085070,2022-11-17 05:40,EST,10.5,P,1.63,P
USGS,02085070,2022-11-17 05:45,EST,10.8,P,1.64,P
USGS,02085070,2022-11-17 05:50,EST,10.8,P,1.64,P
USGS,02085070,2022-11-17 05:55,EST,10.8,P,1.64,P
USGS,02085070,2022-11-17 06:00,EST,10.8,P,1.64,P
USGS,02085070,2022-11-17 06:05,EST,11.1,P,1.65,P
USGS,02085070,2022-11-17 06:10,EST,11.1,P,1.65,P
USGS,02085070,2022-11-17 06:15,EST,11.1,P,1.65,P
USGS,02085070,2022-11-17 06:20,EST,11.1,P,1.65,P
USGS,02085070,2022-11-17 06:25,EST,11.4,P,1.66,P
USGS,02085070,2022-11-17 06:30,EST,11.4,P,1.66,P
USGS,02085070,2022-11-17 06:35,EST,11.4,P,1.66,P
USGS,02085070,2022-11-17 06:40,EST,11.4,P,1.66,P
USGS,02085070,2022-11-17 06:45,EST,11.4,P,1.66,P
USGS,02085070,2022-11-17 06:50,EST,11.4,P,1.66,P
USGS,02085070,2022-11-17 06:55,EST,11.4,P,1.66,P
USGS,02085070,2022-11-17 07:00,EST,11.4,P,1.66,P
USGS,02085070,2022-11-17 07:05,EST,11.7,P,1.67,P
USGS,02085070,2022-11-17 07:10,EST,11.7,P,1.67,P
USGS,02085070,2022-11-17 07:15,EST,11.7,P,1.67,P
